regions,sel_bait_type,mod_name,model_df,AICc,delta,weight,best_model_candidate,mod_r2_partial,d2,lr_number_df,lr_log_lik,lr_df,lr_chisq,lr_pr_chisq,lr_signif,best_model
ecuador,amino_acid,null,2,73.29894407580078,6.747981067253022,0.0190151274490104,FALSE,,0,2,-34.34947203790039,0,0,1,,FALSE
ecuador,amino_acid,elevation,3,75.26355793415118,8.712594925603426,0.00712014374933716,FALSE,,0.007076722295518594,3,-34.000200019707165,1,0.6985440363864512,0.40327335198082415,,FALSE
ecuador,amino_acid,elevation-poly,4,78.12195301729366,11.570990008745909,0.00170528179572252,FALSE,,0.013700538559574134,4,-33.94986539753572,2,0.7992132807293473,0.6705837747512149,,FALSE
ecuador,amino_acid,season,3,66.55096300854775,0,0.555142799770715,TRUE,,0.1177698020985876,3,-29.643902556905456,1,9.41113896198987,0.0021567121846114766,**,TRUE
ecuador,amino_acid,elevation + season,4,68.40421817366851,1.853255165120757,0.219773571299635,TRUE,,0.1272145186533327,4,-29.090997975723145,2,10.516948124354492,0.005203238482351775,**,FALSE
ecuador,amino_acid,elevation * season,5,71.04490146604822,4.493938457500462,0.0586892249575938,FALSE,,0.14427491105299264,5,-28.757744850671166,3,11.18345437445845,0.010774124613255085,*,FALSE
ecuador,amino_acid,elevation-poly + season,5,71.70968597304268,5.1587229644949275,0.0420922608200729,FALSE,,0.12590863604466054,5,-29.0901371041684,3,10.518669867463984,0.014634782042187232,*,FALSE
ecuador,amino_acid,elevation-poly * season,7,70.0511239643016,3.5001609557538416,0.0964615901579134,FALSE,,0.38816416418611305,7,-24.292228648817467,5,20.114486778165848,0.0011893888065554509,**,FALSE
ecuador,cho,null,2,77.38934456289698,3.8060088490201167,0.0928932792873617,FALSE,,0,2,-36.39467228144849,0,0,1,,FALSE
ecuador,cho,elevation,3,79.57628178009978,5.992946066222913,0.0311241078551418,FALSE,,-0.015693637526211415,3,-36.15656194268146,1,0.4762206775340587,0.49013919997445454,,FALSE
ecuador,cho,elevation-poly,4,82.23322507106744,8.649889357190574,0.00824420925659094,FALSE,,-4.210896425571876e-4,4,-36.005501424422604,2,0.778341714051777,0.6776184842439418,,FALSE
ecuador,cho,season,3,76.20131938226231,2.617983668385449,0.168252174052947,FALSE,,0.08172226124015267,3,-34.46908074376273,1,3.851183075371523,0.049710914448962876,*,FALSE
ecuador,cho,elevation + season,4,78.47879879090246,4.895463077025596,0.053878105296883,FALSE,,0.0517309875505854,4,-34.12828828434012,2,4.532767994216741,0.10368643346788702,,FALSE
ecuador,cho,elevation * season,5,73.58333571387686,0,0.622943437537915,TRUE,,0.13848311216138492,5,-30.026961974585486,3,12.735420613726014,0.005245152864912369,**,TRUE
ecuador,cho,elevation-poly + season,5,81.69632545631053,8.112989742433669,0.0107828925272388,FALSE,,0.05931048127517737,5,-34.083456845802324,3,4.622430871292337,0.20162627188910026,,FALSE
ecuador,cho,elevation-poly * season,7,81.50223250570609,7.918896791829226,0.0118817941859224,FALSE,,0.13769974172538746,7,-30.017782919519714,5,12.753778723857558,0.025798689460490607,*,FALSE
ecuador,cho_amino_acid,null,2,79.1957281785203,0.309508435009306,0.246651452978895,TRUE,,0,2,-37.29786408926015,0,0,1,,FALSE
ecuador,cho_amino_acid,elevation,3,78.88621974351099,0,0.287933754914563,TRUE,,0.009014913091655247,3,-35.81153092438708,1,2.972666329746147,0.08468217527808067,,FALSE
ecuador,cho_amino_acid,elevation-poly,4,79.48456991942294,0.5983501759119463,0.213482603745693,TRUE,,0.01816966266971388,4,-34.631173848600355,2,5.333380481319594,0.06948181323970672,,TRUE
ecuador,cho_amino_acid,season,3,81.40511172280651,2.5188919792955176,0.0817188294856608,FALSE,,0.006221189323131426,3,-37.07097691403483,1,0.45377435045064374,0.5005480038571479,,FALSE
ecuador,cho_amino_acid,elevation + season,4,81.31985232312081,2.433632579609821,0.0852777985932346,FALSE,,0.0246583587610216,4,-35.54881505044929,2,3.4980980776217194,0.1739392743255137,,FALSE
ecuador,cho_amino_acid,elevation * season,5,83.40788155324111,4.521661809730119,0.0300210718817252,FALSE,,0.01975564137012871,5,-34.939234894267614,3,4.717258389985076,0.19371086613206157,,FALSE
ecuador,cho_amino_acid,elevation-poly + season,5,82.53422453514067,3.648004791629674,0.046466333527274,FALSE,,0.027503183232458234,5,-34.50240638521739,3,5.590915408085522,0.13330086888473314,,FALSE
ecuador,cho_amino_acid,elevation-poly * season,7,85.94378449696077,7.057564753449782,0.00844815487295411,FALSE,,-0.019959976346913044,7,-32.23855891514705,5,10.118610348226198,0.07194339209480263,,FALSE
ecuador,h2o,null,2,61.30660305241936,0,0.564214827596861,TRUE,,0,2,-28.35330152620968,0,0,1,,TRUE
ecuador,h2o,elevation,3,63.85390883728998,2.547305784870616,0.157871622436679,FALSE,,-0.02103937981020261,3,-28.295375471276568,1,0.11585210986622485,0.7335774954153998,,FALSE
ecuador,h2o,elevation-poly,4,66.81296671499894,5.506363662579574,0.0359544639553688,FALSE,,-0.02102693189542868,4,-28.295372246388354,2,0.11585855964265335,0.9437166848895008,,FALSE
ecuador,h2o,season,3,63.90233087545926,2.5957278230399012,0.154095288483402,FALSE,,0.004518584395701337,3,-28.31958649036121,1,0.06743007169693982,0.7951160141560719,,FALSE
ecuador,h2o,elevation + season,4,66.75697563246375,5.450372580044387,0.0369752507042708,FALSE,,-0.016085711836032548,4,-28.267376705120764,2,0.1718496421778326,0.9176632175483967,,FALSE
ecuador,h2o,elevation * season,5,66.4801023786479,5.173499326228537,0.0424652211847205,FALSE,,0.03793245835704825,5,-26.475345306971004,3,3.7559124384773526,0.2890560690295868,,FALSE
ecuador,h2o,elevation-poly + season,5,70.0610233285537,8.75442027613434,0.00708673651784392,FALSE,,-0.01555475813636197,5,-28.26580578192391,3,0.17499148857154267,0.9815218228816491,,FALSE
ecuador,h2o,elevation-poly * season,7,73.39723133707047,12.090628284651103,0.0013365891208529,FALSE,,-0.021606880501100656,7,-25.9652823352019,5,4.776038382015564,0.4438196933956654,,FALSE
ecuador,lipid,null,2,81.63470116715237,12.62739796988366,0.000979404240583795,FALSE,,0,2,-38.51735058357619,0,0,1,,FALSE
ecuador,lipid,elevation,3,69.00730319726871,0,0.54071274910353,TRUE,,0.1657154730403326,3,-30.872072651265935,1,15.290555864620508,9.217620295541123e-5,***,TRUE
ecuador,lipid,elevation-poly,4,70.56251580010208,1.5552126028333646,0.24846000168792,TRUE,,0.1614437627501741,4,-30.170146788939928,2,16.694407589272522,2.3705845666777248e-4,***,FALSE
ecuador,lipid,season,3,84.08993793493391,15.082634737665202,0.000286955194011568,FALSE,,0.010433551007950174,3,-38.41339002009853,1,0.20792112695531273,0.6484017056159852,,FALSE
