term,chisq,df,pr_chisq,signif
(Intercept),57.558492087775,1,3.280763985179203e-14,***
"poly(elevation_mean, 2)",77.78541268380876,2,1.2856189030270054e-17,***
regions,0.6444464785458909,2,0.7245364272893924,
"poly(elevation_mean, 2):regions",23.08343364607402,4,1.2185772412476087e-4,***
