term,chisq,df,pr_chisq,signif
(Intercept),5.701,1,0.017,*
bait_type,24.236,5,0,***
"poly(elevation_mean, 2)",52.345,2,0,***
regions,7.359,2,0.025,*
seasons,13.161,1,0,***
bait_type:regions,19.473,10,0.035,*
"poly(elevation_mean, 2):regions",5.518,4,0.238,
bait_type:seasons,21.564,5,0.001,***
"poly(elevation_mean, 2):seasons",8.325,2,0.016,*
regions:seasons,22.976,2,0,***
bait_type:regions:seasons,34.154,10,0,***
"poly(elevation_mean, 2):regions:seasons",17.021,4,0.002,**
