term,chisq,df,pr_chisq,signif
(Intercept),102.14155108496271,1,5.16928300807153e-24,***
guild,127.20266874199757,2,2.3894142036716396e-28,***
"poly(elevation_mean, elev_poly)",0.7656342380370745,1,0.381571033429849,
regions,4.62350455438558,2,0.09908747063305286,
seasons,0.766350398257887,1,0.3813484591612756,
"guild:poly(elevation_mean, elev_poly)",17.465937151351234,2,1.6118326060642952e-4,***
guild:regions,38.66635573062812,4,8.164184208030852e-8,***
"poly(elevation_mean, elev_poly):regions",0.7158483518748839,2,0.6991260835767347,
"guild:poly(elevation_mean, elev_poly):regions",8.958606607833026,4,0.06214248749264691,
