regions,sel_bait_type,mod_name,mod_formula,AICc,delta,model_df,deviance,d2,residual_df,lr_chisq,chisq_df,p_value_chisq,lr_signif,best_model_candidate,best_model
png,nacl,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",39.829,2.199,3,32.329,0.018,17,0.595,1,0.441,,FALSE,FALSE
png,nacl,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",42.751,5.122,4,32.084,0.025,16,0.839,2,0.657,,FALSE,FALSE
png,nacl,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",39.305,1.676,3,31.805,0.034,17,1.118,1,0.29,,TRUE,TRUE
png,nacl,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",41.917,4.287,4,31.25,0.051,16,1.673,2,0.433,,FALSE,FALSE
png,nacl,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",43.947,6.317,5,29.661,0.099,15,3.262,3,0.353,,FALSE,FALSE
png,nacl,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",45.181,7.551,5,30.895,0.062,15,2.029,3,0.566,,FALSE,FALSE
png,nacl,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",52.529,14.899,7,29.196,0.113,13,3.728,5,0.589,,FALSE,FALSE
tanzania,nacl,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",22.619,0,2,16.905,1,8,0,0,1,,TRUE,FALSE
tanzania,nacl,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",23.541,0.922,3,13.541,0.199,7,3.363,1,0.067,,TRUE,TRUE
tanzania,nacl,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",29.54,6.921,4,13.54,0.199,6,3.364,2,0.186,,FALSE,FALSE
tanzania,nacl,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",26.649,4.03,3,16.649,0.015,7,0.255,1,0.613,,FALSE,FALSE
tanzania,nacl,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",28.655,6.036,4,12.655,0.251,6,4.25,2,0.119,,FALSE,FALSE
tanzania,nacl,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",37.573,14.955,5,12.573,0.256,5,4.331,3,0.228,,FALSE,FALSE
tanzania,nacl,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",37.606,14.987,5,12.606,0.254,5,4.299,3,0.231,,FALSE,FALSE
tanzania,nacl,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",82.229,59.61,7,12.229,0.277,3,4.675,5,0.457,,FALSE,FALSE
