regions,sel_bait_type,mod_name,mod_formula,AICc,delta,model_df,deviance,d2,residual_df,lr_chisq,chisq_df,p_value_chisq,lr_signif,best_model_candidate,best_model
ecuador,cho,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",41.6,3.687,4,31.377,0.058,19,1.935,2,0.38,,FALSE,FALSE
ecuador,cho,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",39.65,1.737,3,32.386,0.028,20,0.926,1,0.336,,TRUE,FALSE
ecuador,cho,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",40.697,2.784,4,30.474,0.085,19,2.838,2,0.242,,FALSE,FALSE
ecuador,cho,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",42.97,5.058,5,29.441,0.116,18,3.872,3,0.276,,FALSE,FALSE
ecuador,cho,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",43.751,5.839,5,30.222,0.093,18,3.091,3,0.378,,FALSE,FALSE
ecuador,cho,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",50.213,12.301,7,28.747,0.137,16,4.566,5,0.471,,FALSE,FALSE
png,cho,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",34.634,0,2,29.928,1,18,0,0,1,,TRUE,TRUE
png,cho,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",36.863,2.23,3,29.363,0.019,17,0.565,1,0.452,,FALSE,FALSE
png,cho,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",39.867,5.233,4,29.2,0.024,16,0.728,2,0.695,,FALSE,FALSE
png,cho,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",37.38,2.746,3,29.88,0.002,17,0.048,1,0.826,,FALSE,FALSE
png,cho,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",39.993,5.359,4,29.326,0.02,16,0.601,2,0.74,,FALSE,FALSE
png,cho,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",43.59,8.956,5,29.304,0.021,15,0.624,3,0.891,,FALSE,FALSE
png,cho,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",43.433,8.799,5,29.147,0.026,15,0.781,3,0.854,,FALSE,FALSE
png,cho,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",52.315,17.681,7,28.982,0.032,13,0.946,5,0.967,,FALSE,FALSE
tanzania,cho,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",18.721,0,2,13.006,1,8,0,0,1,,TRUE,TRUE
tanzania,cho,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",20.903,2.183,3,10.903,0.162,7,2.103,1,0.147,,FALSE,FALSE
tanzania,cho,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",26.556,7.835,4,10.556,0.188,6,2.451,2,0.294,,FALSE,FALSE
tanzania,cho,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",23.006,4.285,3,13.006,0,7,0.001,1,0.981,,FALSE,FALSE
tanzania,cho,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",26.77,8.049,4,10.77,0.172,6,2.237,2,0.327,,FALSE,FALSE
tanzania,cho,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",33.837,15.116,5,8.837,0.321,5,4.169,3,0.244,,FALSE,FALSE
tanzania,cho,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",35.498,16.777,5,10.498,0.193,5,2.508,3,0.474,,FALSE,FALSE
tanzania,cho,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",NA,NA,7,NA,NA,3,NA,5,NA,,NA,NA
ecuador,cho_amino_acid,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",36.149,0,2,31.549,1,21,0,0,1,,TRUE,FALSE
ecuador,cho_amino_acid,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",38.519,2.37,3,31.256,0.009,20,0.293,1,0.588,,FALSE,FALSE
ecuador,cho_amino_acid,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",41.472,5.323,4,31.25,0.009,19,0.299,2,0.861,,FALSE,FALSE
ecuador,cho_amino_acid,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",37.404,1.254,3,30.14,0.045,20,1.409,1,0.235,,TRUE,TRUE
ecuador,cho_amino_acid,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",40.125,3.975,4,29.903,0.052,19,1.647,2,0.439,,FALSE,FALSE
ecuador,cho_amino_acid,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",43.419,7.269,5,29.889,0.053,18,1.66,3,0.646,,FALSE,FALSE
ecuador,cho_amino_acid,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",43.422,7.273,5,29.893,0.053,18,1.657,3,0.647,,FALSE,FALSE
ecuador,cho_amino_acid,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",51.26,15.111,7,29.794,0.056,16,1.756,5,0.882,,FALSE,FALSE
png,cho_amino_acid,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",37.091,0,2,32.385,1,18,0,0,1,,TRUE,FALSE
png,cho_amino_acid,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",39.848,2.757,3,32.348,0.001,17,0.037,1,0.848,,FALSE,FALSE
png,cho_amino_acid,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",42.676,5.585,4,32.009,0.012,16,0.376,2,0.829,,FALSE,FALSE
png,cho_amino_acid,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",38.399,1.309,3,30.899,0.046,17,1.485,1,0.223,,TRUE,TRUE
png,cho_amino_acid,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",41.542,4.451,4,30.875,0.047,16,1.509,2,0.47,,FALSE,FALSE
png,cho_amino_acid,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",45.055,7.964,5,30.769,0.05,15,1.616,3,0.656,,FALSE,FALSE
png,cho_amino_acid,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",44.665,7.574,5,30.379,0.062,15,2.005,3,0.571,,FALSE,FALSE
png,cho_amino_acid,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",53.485,16.394,7,30.152,0.069,13,2.233,5,0.816,,FALSE,FALSE
tanzania,cho_amino_acid,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",20.971,0,2,15.257,1,8,0,0,1,,TRUE,TRUE
tanzania,cho_amino_acid,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",23.751,2.78,3,13.751,0.099,7,1.506,1,0.22,,FALSE,FALSE
tanzania,cho_amino_acid,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",28.808,7.838,4,12.808,0.16,6,2.448,2,0.294,,FALSE,FALSE
tanzania,cho_amino_acid,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",24.765,3.794,3,14.765,0.032,7,0.491,1,0.483,,FALSE,FALSE
tanzania,cho_amino_acid,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",29.518,8.547,4,13.518,0.114,6,1.738,2,0.419,,FALSE,FALSE
tanzania,cho_amino_acid,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",38.506,17.535,5,13.506,0.115,5,1.75,3,0.626,,FALSE,FALSE
tanzania,cho_amino_acid,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",37.308,16.337,5,12.308,0.193,5,2.948,3,0.4,,FALSE,FALSE
tanzania,cho_amino_acid,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",82.215,61.244,7,12.215,0.199,3,3.041,5,0.694,,FALSE,FALSE
ecuador,h2o,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",27.793,0,2,23.193,1,21,0,0,1,,TRUE,TRUE
ecuador,h2o,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",30.375,2.582,3,23.112,0.004,20,0.081,1,0.776,,FALSE,FALSE
ecuador,h2o,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",33.334,5.541,4,23.112,0.004,19,0.081,2,0.96,,FALSE,FALSE
ecuador,h2o,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",30.038,2.245,3,22.775,0.018,20,0.418,1,0.518,,FALSE,FALSE
ecuador,h2o,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",32.894,5.1,4,22.671,0.023,19,0.522,2,0.77,,FALSE,FALSE
