guild,mod_name,mod_formula,AICc,delta,model_df,deviance,d2,residual_df,lr_chisq,chisq_df,p_value_chisq,lr_signif,best_model_candidate,best_model
n_occ_herbivorous_trophobiotic_prop,elevation * region * season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions + seasons + poly(elevation_mean, elev_poly):regions + poly(elevation_mean, elev_poly):seasons + regions:seasons + poly(elevation_mean, elev_poly):regions:seasons",52.661,17.797,15,9.688,0.749,38,28.895,11,0.002,**,FALSE,FALSE
n_occ_predator_scavenger_prop,null,n_occ_prop ~ 1,64.91,39.097,4,56.077,1,49,0,0,1,,FALSE,FALSE
n_occ_predator_scavenger_prop,elevation,"n_occ_prop ~ poly(elevation_mean, elev_poly)",62.06,36.246,5,50.783,0.094,48,5.294,1,0.021,*,FALSE,FALSE
n_occ_predator_scavenger_prop,region,n_occ_prop ~ regions,57.238,31.425,6,43.412,0.226,47,12.665,2,0.002,**,FALSE,FALSE
n_occ_predator_scavenger_prop,season,n_occ_prop ~ seasons,67.265,41.452,5,55.988,0.002,48,0.089,1,0.766,,FALSE,FALSE
n_occ_predator_scavenger_prop,elevation + region,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions",36.742,10.929,7,20.253,0.639,46,35.824,3,0,***,FALSE,FALSE
n_occ_predator_scavenger_prop,elevation * region,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions + poly(elevation_mean, elev_poly):regions",25.813,0,9,3.627,0.935,44,52.45,5,0,***,TRUE,TRUE
n_occ_predator_scavenger_prop,elevation + season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + seasons",64.584,38.771,6,50.758,0.095,47,5.319,2,0.07,,FALSE,FALSE
n_occ_predator_scavenger_prop,elevation * season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + seasons + poly(elevation_mean, elev_poly):seasons",65.823,40.01,7,49.335,0.12,46,6.742,3,0.081,,FALSE,FALSE
n_occ_predator_scavenger_prop,region + season,n_occ_prop ~ regions + seasons,59.42,33.607,7,42.931,0.234,46,13.146,3,0.004,**,FALSE,FALSE
n_occ_predator_scavenger_prop,region * season,n_occ_prop ~ regions + seasons + regions:seasons,62.659,36.846,9,40.473,0.278,44,15.604,5,0.008,**,FALSE,FALSE
n_occ_predator_scavenger_prop,elevation + region + season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions + seasons",38.772,12.958,8,19.499,0.652,45,36.578,4,0,***,FALSE,FALSE
n_occ_predator_scavenger_prop,elevation + region * season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions + seasons + poly(elevation_mean, elev_poly):seasons + regions:seasons",41.138,15.325,11,12.699,0.774,42,43.378,7,0,***,FALSE,FALSE
n_occ_predator_scavenger_prop,elevation * region + season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions + seasons + poly(elevation_mean, elev_poly):regions",27.815,2.002,10,2.577,0.954,43,53.5,6,0,***,FALSE,FALSE
n_occ_predator_scavenger_prop,elevation * region * season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions + seasons + poly(elevation_mean, elev_poly):regions + poly(elevation_mean, elev_poly):seasons + regions:seasons + poly(elevation_mean, elev_poly):regions:seasons",34.512,8.699,15,-8.461,1.151,38,64.538,11,0,***,FALSE,FALSE
