sp_code,subfamily,genus,guild,regions,sites,elevational_bands,transect_number,trap_number_code,elevation,latitude,longitude,bait_type,abundance,seasons,dates,habitat,exposure_time,et_pcode,exl_food_pref,excl_occupancy
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_029_a,223,-5.73529,145.33372,amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_030_a,224,-5.73517,145.33368,nacl,0,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_031_a,236,-5.73556,145.33302,h2o,0,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_032_a,235,-5.73556,145.33301,amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
rhyt_002,ectatomminae,rhytidoponera,predator_scavenger,png,png_200_m,200,2,200_fp_h_033_a,239,-5.73546,145.33262,nacl,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_034_a,241,-5.73532,145.33274,lipid,0,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
rhyt_002,ectatomminae,rhytidoponera,predator_scavenger,png,png_200_m,200,2,200_fp_h_035_a,236,-5.73538,145.33252,cho,6,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,2,200_fp_h_036_a,241,-5.73526,145.33254,cho_amino_acid,11,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_019,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_036_a,241,-5.73526,145.33254,cho_amino_acid,3,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,2,200_fp_h_037_a,236,-5.73525,145.33244,nacl,2,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
