sp_code,subfamily,genus,guild,regions,sites,elevational_bands,transect_number,trap_number_code,elevation,latitude,longitude,bait_type,abundance,seasons,dates,habitat,exposure_time,et_pcode,excluded_for_nutrient_ratios_analyses,excluded_for_total_bait_occupancy_analysis
APHA001,Myrmicinae,Aphaenogaster,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F028-A,1149,-5.72344,145.26934,Lipid,1,Dry,27-Jul-2012,Natural rainforest,60,1200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F028-A,1149,-5.72344,145.26934,Lipid,11,Dry,27-Jul-2012,Natural rainforest,60,1200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F028-A,1149,-5.72344,145.26934,Lipid,1,Dry,27-Jul-2012,Natural rainforest,60,1200_1,NO,NO
PHEI004,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F029-A,1147,-5.72352,145.26928,CHO,1,Dry,27-Jul-2012,Natural rainforest,60,1200_1,NO,NO
PHEI036,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F029-A,1147,-5.72352,145.26928,CHO,8,Dry,27-Jul-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F030-A,1144,-5.72362,145.26929,NaCl,0,Dry,27-Jul-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F031-A,1123,-5.72409,145.26886,Amino Acid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
PHIL001,Dolichoderinae,Philidris,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F032-A,1099,-5.72426,145.2688,Lipid,1,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
RHYT005,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_1200m,1200,2,1200-FP-F033-A,1127,-5.72404,145.26903,CHO,3,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
PHEI005,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F034-A,1125,-5.72404,145.26907,Lipid,47,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F035-A,1123,-5.72409,145.26886,CHO + Amino Acid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F036-A,1117,-5.72411,145.26873,Amino Acid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
PHEI056,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F037-A,1112,-5.72424,145.2689,NaCl,3,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F038-A,1103,-5.72433,145.26865,NaCl,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F039-A,1112,-5.72424,145.2689,Lipid,35,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
PHEI036,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F040-A,1106,-5.72424,145.26871,CHO,1,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F041-A,1096,-5.72443,145.26841,H2O,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F042-A,1086,-5.72449,145.26841,CHO + Amino Acid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
RHYT005,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_1200m,1200,2,1200-FP-F043-A,1084,-5.72446,145.26824,CHO,3,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F044-A,1096,-5.72443,145.26841,H2O,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F045-A,1086,-5.72449,145.26841,Amino Acid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F046-A,1084,-5.72446,145.26824,H2O,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F047-A,1078,-5.72441,145.26813,NaCl,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F048-A,1084,-5.72446,145.26824,CHO + Amino Acid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F049-A,1078,-5.72441,145.26813,H2O,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
RHYT005,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_1200m,1200,2,1200-FP-F050-A,1078,-5.72441,145.26813,CHO,5,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
CARE007,Myrmicinae,Carebara,Predator/Scavenger,PNG,PNG_1200m,1200,2,1200-FP-F051-A,1075,-5.72439,145.26809,Lipid,1,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
TETR024,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1200m,1200,2,1200-FP-F051-A,1075,-5.72439,145.26809,Lipid,70,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F052-A,1073,-5.72446,145.26804,Amino Acid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F053-A,1070,-5.72455,145.26789,NaCl,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F054-A,1067,-5.72462,145.26785,CHO + Amino Acid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F055-A,1066,-5.72477,145.2678,CHO,32,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F056-A,1060,-5.72487,145.2677,NaCl,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F057-A,1068,-5.7246,145.2678,CHO + Amino Acid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F058-A,1060,-5.72487,145.2677,H2O,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F059-A,1064,-5.72481,145.26771,Amino Acid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F060-A,1060,-5.72487,145.2677,Lipid,0,Dry,27-Jul-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F001-B,1196,-5.72177,145.27001,CHO + Amino Acid,0,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI036,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F002-B,1194,-5.7219,145.27004,CHO,5,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI054,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F003-B,1192,-5.72202,145.27,Lipid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
TETR024,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1200m,1200,1,1200-FP-F003-B,1162,-5.72289,145.26968,Lipid,20,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F004-B,1190,-5.72201,145.26996,Amino Acid,0,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F005-B,1187,-5.72197,145.27002,NaCl,0,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F006-B,1184,-5.72213,145.27004,H2O,0,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
STRU001,Myrmicinae,Strumigenys,Predator/Scavenger,PNG,PNG_1200m,1200,1,1200-FP-F007-B,1165,-5.72281,145.26968,Lipid,2,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_1200m,1200,1,1200-FP-F008-B,1181,-5.72227,145.26998,H2O,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F009-B,1173,-5.7225,145.26985,CHO,0,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI057,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F010-B,1177,-5.72223,145.26999,Amino Acid,32,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
APHA001,Myrmicinae,Aphaenogaster,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F011-B,1173,-5.72247,145.26983,CHO + Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
TETR024,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1200m,1200,1,1200-FP-F011-B,1173,-5.72247,145.26983,CHO + Amino Acid,3,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
TETR024,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1200m,1200,1,1200-FP-F012-B,1173,-5.72247,145.26983,NaCl,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F013-B,1173,-5.7225,145.26985,NaCl,0,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
ANON013,Dolichoderinae,Anonychomyrma,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F014-B,1170,-5.72254,145.26972,Lipid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F015-B,1165,-5.72296,145.26969,CHO + Amino Acid,20,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F016-B,1162,-5.72289,145.26968,CHO,0,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI040,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F017-B,1159,-5.72295,145.26959,H2O,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F018-B,1155,-5.72329,145.2695,Amino Acid,0,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
ANCY003,Myrmicinae,Ancyridris,Predator/Scavenger,PNG,PNG_1200m,1200,1,1200-FP-F019-B,1154,-5.72331,145.26943,CHO,6,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F019-B,1154,-5.72331,145.26943,CHO,33,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_1200m,1200,1,1200-FP-F020-B,1149,-5.72344,145.26934,CHO + Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F021-B,1159,-5.72295,145.26959,Lipid,224,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F022-B,1155,-5.72329,145.2695,H2O,2,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI036,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F023-B,1154,-5.72331,145.26943,Amino Acid,5,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
TETR024,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1200m,1200,1,1200-FP-F023-B,1154,-5.72331,145.26943,Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F024-B,1154,-5.72323,145.26944,NaCl,0,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI008,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F025-B,1151,-5.72329,145.26939,CHO + Amino Acid,4,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI040,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F025-B,1151,-5.72329,145.26939,CHO + Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
TETR024,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1200m,1200,1,1200-FP-F025-B,1151,-5.72329,145.26939,CHO + Amino Acid,3,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_1200m,1200,1,1200-FP-F026-B,1151,-5.72329,145.26939,CHO,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F027-B,1150,-5.72345,145.26937,Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI054,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F027-B,1150,-5.72345,145.26937,Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,1,1200-FP-F028-B,1149,-5.72344,145.26934,Lipid,0,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI037,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F029-B,1147,-5.72352,145.26928,H2O,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,1,1200-FP-F030-B,1144,-5.72362,145.26929,NaCl,1,Wet,30-Oct-2012,Natural rainforest,60,1200_1,NO,NO
PHEI056,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F031-B,1131,-5.72377,145.26911,Lipid,2,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
ANON012,Dolichoderinae,Anonychomyrma,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F032-B,1099,-5.72426,145.2688,NaCl,40,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
APHA001,Myrmicinae,Aphaenogaster,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F032-B,1099,-5.72426,145.2688,NaCl,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI004,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F032-B,1128,-5.72394,145.2691,NaCl,2,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
ANON012,Dolichoderinae,Anonychomyrma,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F033-B,1127,-5.72404,145.26903,Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
TETR024,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1200m,1200,2,1200-FP-F034-B,1125,-5.72404,145.26907,H2O,3,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI004,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F035-B,1123,-5.72409,145.26886,CHO,2,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F036-B,1117,-5.72411,145.26873,CHO + Amino Acid,0,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI054,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F037-B,1112,-5.72424,145.2689,Lipid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
STRU001,Myrmicinae,Strumigenys,Predator/Scavenger,PNG,PNG_1200m,1200,2,1200-FP-F037-B,1112,-5.72424,145.2689,Lipid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI043,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F038-B,1103,-5.72433,145.26865,CHO,5,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F039-B,1112,-5.72424,145.2689,H2O,0,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
ANON009,Dolichoderinae,Anonychomyrma,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F040-B,1106,-5.72424,145.26871,Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F040-B,1106,-5.72424,145.26871,Amino Acid,30,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F041-B,1096,-5.72443,145.26841,NaCl,0,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F042-B,1086,-5.72449,145.26841,CHO + Amino Acid,2,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI036,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F043-B,1084,-5.72446,145.26824,Lipid,4,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHIL001,Dolichoderinae,Philidris,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F043-B,1084,-5.72446,145.26824,Lipid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI054,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F044-B,1096,-5.72443,145.26841,NaCl,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F045-B,1086,-5.72449,145.26841,Amino Acid,0,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F046-B,1084,-5.72446,145.26824,H2O,0,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F047-B,1078,-5.72441,145.26813,CHO,42,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F048-B,1084,-5.72446,145.26824,CHO + Amino Acid,0,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
APHA001,Myrmicinae,Aphaenogaster,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F049-B,1078,-5.72441,145.26813,Lipid,3,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI004,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F049-B,1078,-5.72441,145.26813,Lipid,2,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI054,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F049-B,1078,-5.72441,145.26813,Lipid,173,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
LEPM002,Dolichoderinae,Leptomyrmex,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F050-B,1078,-5.72441,145.26813,NaCl,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
TETR024,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1200m,1200,2,1200-FP-F051-B,1075,-5.72439,145.26809,Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F052-B,1073,-5.72446,145.26804,H2O,0,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F053-B,1070,-5.72455,145.26789,CHO,32,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F054-B,1067,-5.72462,145.26785,CHO + Amino Acid,25,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F055-B,1066,-5.72477,145.2678,Lipid,207,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI004,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F056-B,1060,-5.72487,145.2677,Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
TETR024,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1200m,1200,2,1200-FP-F056-B,1060,-5.72487,145.2677,Amino Acid,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
ANON012,Dolichoderinae,Anonychomyrma,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F057-B,1068,-5.7246,145.2678,CHO,18,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
PHEI037,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1200m,1200,2,1200-FP-F057-B,1068,-5.7246,145.2678,CHO,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
TETR024,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1200m,1200,2,1200-FP-F058-B,1060,-5.72487,145.2677,NaCl,1,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F059-B,1064,-5.72481,145.26771,H2O,0,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1200m,1200,2,1200-FP-F060-B,1060,-5.72487,145.2677,CHO + Amino Acid,0,Wet,30-Oct-2012,Natural rainforest,60,1200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_1700m,1700,1,1700-FP-E001-A,1527,-5.75484,145.23685,H2O,0,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
PHEI057,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1700m,1700,1,1700-FP-E002-A,1534,-5.75494,145.23691,CHO,1,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
PHEI057,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1700m,1700,1,1700-FP-E003-A,1541,-5.75494,145.23691,Lipid,23,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1700m,1700,1,1700-FP-E004-A,1553,-5.75495,145.23691,CHO + Amino Acid,0,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1700m,1700,1,1700-FP-E005-A,1562,-5.75503,145.23692,NaCl,0,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_1700m,1700,1,1700-FP-E006-A,1569,-5.7551,145.23685,Amino Acid,1,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
PHEI057,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1700m,1700,1,1700-FP-E007-A,1577,-5.75517,145.23681,CHO + Amino Acid,3,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
PHEI057,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1700m,1700,1,1700-FP-E008-A,1578,-5.7552,145.2368,CHO,1,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
TETR026,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_1700m,1700,1,1700-FP-E008-A,1578,-5.7552,145.2368,CHO,3,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
PHEI057,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1700m,1700,1,1700-FP-E009-A,1582,-5.75536,145.2368,Lipid,18,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
PHEI057,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1700m,1700,1,1700-FP-E010-A,1588,-5.75539,145.23673,NaCl,3,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
PHEI057,Myrmicinae,Pheidole,Generalistic,PNG,PNG_1700m,1700,1,1700-FP-E011-A,1594,-5.75549,145.23673,Amino Acid,2,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1700m,1700,1,1700-FP-E012-A,1600,-5.75555,145.23673,H2O,0,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1700m,1700,1,1700-FP-E013-A,1610,-5.75563,145.23666,CHO,0,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1700m,1700,1,1700-FP-E014-A,1614,-5.75565,145.23661,Lipid,0,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1700m,1700,1,1700-FP-E015-A,1625,-5.75564,145.23655,Amino Acid,0,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1700m,1700,1,1700-FP-E016-A,1636,-5.7557,145.23649,H2O,0,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
NA,NA,NA,NA,PNG,PNG_1700m,1700,1,1700-FP-E017-A,1643,-5.75579,145.2365,NaCl,0,Dry,17-Jun-2012,Natural rainforest,60,1700_1,NO,NO
