sp_code,subfamily,genus,guild,regions,sites,elevational_bands,transect_number,trap_number_code,elevation,latitude,longitude,bait_type,abundance,seasons,dates,habitat,exposure_time,et_pcode,excluded_for_nutrient_ratios_analyses,excluded_for_total_bait_occupancy_analysis
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H028-A,220,-5.73523,145.33386,Lipid,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H029-A,223,-5.73529,145.33372,Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H030-A,224,-5.73517,145.33368,NaCl,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H031-A,236,-5.73556,145.33302,H2O,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H032-A,235,-5.73556,145.33301,Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H033-A,239,-5.73546,145.33262,NaCl,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H034-A,241,-5.73532,145.33274,Lipid,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H035-A,236,-5.73538,145.33252,CHO,6,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,2,200-FP-H036-A,241,-5.73526,145.33254,CHO + Amino Acid,11,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H036-A,241,-5.73526,145.33254,CHO + Amino Acid,3,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,2,200-FP-H037-A,236,-5.73525,145.33244,NaCl,2,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PARA005,Formicinae,Nylanderia,Generalistic,PNG,PNG_200m,200,2,200-FP-H038-A,241,-5.7352,145.33236,H2O,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI008,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H039-A,241,-5.73523,145.33228,Lipid,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H040-A,243,-5.73519,145.33216,CHO + Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI008,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H041-A,246,-5.7352,145.33211,CHO,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H042-A,246,-5.73518,145.33208,Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
CREM003,Myrmicinae,Crematogaster,Generalistic,PNG,PNG_200m,200,2,200-FP-H043-A,245,-5.73507,145.33205,NaCl,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PARA005,Formicinae,Nylanderia,Generalistic,PNG,PNG_200m,200,2,200-FP-H043-A,245,-5.73507,145.33205,NaCl,3,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H044-A,245,-5.735,145.33186,H2O,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H045-A,243,-5.73497,145.33177,CHO,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
LEPM001,Dolichoderinae,Leptomyrmex,Generalistic,PNG,PNG_200m,200,2,200-FP-H046-A,248,-5.73488,145.33162,Amino Acid,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,2,200-FP-H047-A,245,-5.73501,145.33151,CHO,10,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H047-A,245,-5.73501,145.33151,CHO,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI028,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H048-A,245,-5.73507,145.33144,CHO + Amino Acid,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
ODON001,Ponerinae,Odontomachus,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H048-A,245,-5.73507,145.33144,CHO + Amino Acid,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H048-A,245,-5.73507,145.33144,CHO + Amino Acid,2,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PARA005,Formicinae,Nylanderia,Generalistic,PNG,PNG_200m,200,2,200-FP-H049-A,252,-5.735,145.33146,NaCl,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H049-A,252,-5.735,145.33146,NaCl,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,2,200-FP-H050-A,253,-5.73502,145.33146,H2O,15,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI017,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H051-A,257,-5.73503,145.33132,Lipid,3,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H052-A,256,-5.73494,145.33128,CHO + Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H053-A,256,-5.73498,145.33128,CHO,8,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H054-A,259,-5.73494,145.33113,Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI017,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H055-A,260,-5.73482,145.33103,NaCl,4,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H056-A,263,-5.73476,145.33101,H2O,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H057-A,262,-5.73476,145.33089,Lipid,3,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
CREM003,Myrmicinae,Crematogaster,Generalistic,PNG,PNG_200m,200,2,200-FP-H058-A,264,-5.73471,145.33087,Amino Acid,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PARA005,Formicinae,Nylanderia,Generalistic,PNG,PNG_200m,200,2,200-FP-H058-A,264,-5.73471,145.33087,Amino Acid,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI028,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H059-A,264,-5.7346,145.33085,Lipid,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
ODON001,Ponerinae,Odontomachus,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H060-A,263,-5.73464,145.33076,CHO + Amino Acid,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PARA005,Formicinae,Nylanderia,Generalistic,PNG,PNG_200m,200,1,200-FP-H001-B,217,-5.73702,145.33487,Lipid,8,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,1,200-FP-H001-B,217,-5.73702,145.33487,Lipid,13,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
CREM010,Myrmicinae,Crematogaster,Generalistic,PNG,PNG_200m,200,1,200-FP-H002-B,212,-5.73701,145.33489,NaCl,2,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
PARA005,Formicinae,Nylanderia,Generalistic,PNG,PNG_200m,200,1,200-FP-H002-B,212,-5.73701,145.33489,NaCl,2,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO003,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H003-B,209,-5.73693,145.33468,H2O,4,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
PARA005,Formicinae,Nylanderia,Generalistic,PNG,PNG_200m,200,1,200-FP-H003-B,209,-5.73693,145.33468,H2O,3,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,1,200-FP-H003-B,209,-5.73693,145.33468,H2O,17,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H004-B,212,-5.73691,145.33465,CHO,4,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
TETR018,Myrmicinae,Tetramorium,Predator/Scavenger,PNG,PNG_200m,200,1,200-FP-H005-B,212,-5.73692,145.33459,CHO + Amino Acid,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H006-B,212,-5.73697,145.33463,Amino Acid,3,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
STRU001,Myrmicinae,Strumigenys,Predator/Scavenger,PNG,PNG_200m,200,1,200-FP-H006-B,212,-5.73697,145.33463,Amino Acid,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO003,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H007-B,214,-5.73679,145.33447,Lipid,34,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H008-B,211,-5.73671,145.33439,NaCl,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO003,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H008-B,211,-5.73671,145.33439,NaCl,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,1,200-FP-H008-B,211,-5.73671,145.33439,NaCl,4,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
PHEI003,Myrmicinae,Pheidole,Predator/Scavenger,PNG,PNG_200m,200,1,200-FP-H009-B,213,-5.73664,145.33438,H2O,12,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H009-B,213,-5.73664,145.33438,H2O,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H009-B,213,-5.73664,145.33438,H2O,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H010-B,205,-5.73656,145.3344,CHO,3,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H010-B,205,-5.73656,145.3344,CHO,8,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H011-B,205,-5.73646,145.33441,CHO + Amino Acid,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H011-B,205,-5.73646,145.33441,CHO + Amino Acid,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H012-B,203,-5.73635,145.33453,Amino Acid,4,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H013-B,209,-5.73633,145.3345,Lipid,0,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H014-B,214,-5.73633,145.33449,NaCl,2,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H014-B,214,-5.73633,145.33449,NaCl,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H015-B,215,-5.73611,145.33434,H2O,2,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H016-B,216,-5.73593,145.33442,CHO,0,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H017-B,220,-5.73594,145.3343,CHO + Amino Acid,4,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H018-B,221,-5.7359,145.33431,Amino Acid,0,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
CARE003,Myrmicinae,Carebara,Predator/Scavenger,PNG,PNG_200m,200,1,200-FP-H019-B,219,-5.7359,145.3343,Lipid,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H019-B,219,-5.7359,145.3343,Lipid,2,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
CARE007,Myrmicinae,Carebara,Predator/Scavenger,PNG,PNG_200m,200,1,200-FP-H019-B,219,-5.7359,145.3343,Lipid,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H020-B,223,-5.73586,145.33421,NaCl,4,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H021-B,225,-5.73584,145.33422,H2O,0,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H022-B,224,-5.73573,145.33411,CHO,0,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H023-B,223,-5.73574,145.33407,CHO + Amino Acid,2,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
